,Unnamed: 0,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Disutility 2105,Intratemporal consumption Gini 2105,Intratemporal damage Gini 2105,Temperature overshoot 2105
0,3887,0.2323080795508693,2130.4964844032465,0.0103985146334713,0.0043526838307361,11054.413001524745,59.88937388463879,0.2861827633878118,0.5467134711432216,7.0
1,5398,0.2197366140476089,2107.532938017043,0.0048021665821493,0.0028144166006184,11035.373311953625,56.98718515482175,0.2859907053257216,0.5495723450709465,7.0
2,17155,0.1481766101357114,2104.2207395366936,0.0128505978541214,0.0016281901845445,10959.952079754388,53.96736403144228,0.2838808208834611,0.5499993335142328,7.0
3,19864,0.127654229684178,2065.0904472771404,0.0109873136553307,0.0107307604433332,10937.861497889666,44.986351928284165,0.282663639502954,0.5626274220585454,7.0
4,20016,0.2373099539059063,2065.0904472771404,0.0081017828270868,0.0107307604433332,11058.503170798169,47.82466676098501,0.2859687647746127,0.564371387788879,7.0
0,3539,0.2346479916289288,2065.063607483243,0.0051781031429013,0.0023888670407607,11190.15728084548,22.577526325674828,0.2844191653511696,0.5781945235205488,5.0
1,8453,0.2439281670734474,2071.1847900397947,0.0032770265117988,0.0143823249637066,11186.21100231696,23.769786103681884,0.2847044426981359,0.5749605985122462,6.0
2,13027,0.1435231009519948,2070.166487483088,0.0145493029987845,0.0030576714995489,11101.676959715283,20.983254482679847,0.2818364855664543,0.5749758801334351,6.0
0,6050,0.1355175992641584,2065.024286091746,0.0093382432894108,0.0114625414687585,11074.44990548324,20.991287974782843,0.2816959779267365,0.5701740456999015,6.0
1,9291,0.2417230865837389,2065.019526526423,0.0053458187879361,0.0076671551200744,11175.074921260812,23.97489030402969,0.2848134848258704,0.570818354767902,6.0
2,9992,0.2392460762826198,2216.9568357852613,0.0034111378213826,0.0129097856058316,11149.17398853422,36.43951309586349,0.2852827544187799,0.5499959609481261,6.0
3,10714,0.2268549490332164,2220.9006315558217,0.014564067326594,0.0148974692093626,11147.02156638414,35.96797833789731,0.2849992182733095,0.5499623380201344,6.0
