,Unnamed: 0,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Temperature overshoot 2105
0,0,0.2427365807822783,2164.887413774144,0.001,0.0137832129256235,10006.376844187524,7.0
1,1,0.2484231797510297,2065.0,0.001,0.0018479063817797,10007.578786976102,7.0
0,0,0.2473668003509366,2065.0,0.001,0.0073480973318767,10126.852336456188,6.0
1,1,0.2394648974480003,2065.0,0.001,0.0065498182708087,10126.45958268443,5.0
2,2,0.2473667804216276,2065.0,0.001,0.0086622790582799,10126.852336456188,6.0
3,3,0.2394648995309946,2065.0,0.001,0.0072304801200543,10126.45958289238,5.0
0,0,0.2472066820060316,2065.0,0.001,0.0015562082174926,10112.33888776332,6.0
1,1,0.2472062196703807,2065.0,0.001,0.0044629826923482,10112.338887762007,6.0
0,0,0.2484626884819986,2065.0,0.001,0.0118264600768889,10034.48967115862,6.0
1,1,0.2433890606998301,2186.7437715511,0.001,0.004142766475954,10054.902494008054,7.0
2,2,0.2484626966996425,2065.0,0.001,0.008165060385309,10034.48967115862,6.0
3,3,0.2433893901851027,2186.7435298728287,0.001,0.0016970059928768,10054.902494008333,7.0
